ResultNumber,Consent,Appeal,Trust,Usage,Likes,Dislikes,Reccomended,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q10.1,Q10.2,Q10.3,Q10.4,Q10.5,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,UserID,Start Date,Start Time,Finish Date,Finish Time,Average Time,Interface,Activity level,Agegroup,Children,Country,Deotype,DeoUser,Deofreq,Gender,Sweating,Benefit
883,1,4,4,3,that if needed its gives that cooling feeling when it gets hot ,price with this doing what it does will come at a price,N/A,4,4,4,5,5,1,1,2,2,1,3,6,5,7,6,5365998,10-08-2020,09:38,10-08-2020,09:50,61.5,desktop,3+ times a week,55 - 64 years,I don’t have children under the age of 18,Australia,Roll-on,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
884,1,5,5,5,Seems to be a new concept,N/a,N/a,5,5,3,5,5,1,5,5,2,5,7,7,4,7,7,7553372,10-08-2020,09:38,10-08-2020,09:43,23.75,mobile,Twice a week,35 - 44 years,Two,India,Pump spray,Yes,I use it multiple times a day,Male,Anxious sweater,It cares for my skin
885,1,1,1,1,It is activated by your body temperature,I do not understand the word Encaps,I would change the name to something understandable,2,1,4,4,4,3,3,3,1,1,4,3,4,5,5,7553593,10-08-2020,09:38,10-08-2020,09:46,37.58333333,desktop,Once a week,55 - 64 years,I don’t have children under the age of 18,UK,Stick,Yes,I use it at least once a day,Female,Light sweater,It prevents / controls against odour
886,,,,,,,,,,,,,,,,,,,,,,,8664302,10-08-2020,09:39,,,,mobile,Few times a month,35 - 44 years,One,Philippines,Lotion,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
887,1,5,4,5,this is relevant to me at the moment in the hot weather. i think it is a unique idea that is not on the market at the moment,n/a,n/a,5,4,4,5,5,1,2,2,1,1,6,5,5,7,7,6901414,10-08-2020,09:39,10-08-2020,09:43,19.66666667,desktop,Twice a week,25 - 34 years,Two,UK,Roll-on,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against wetness
888,1,4,3,4,it's an interesting idea and also reassuring to think that if you suddenly get hot it will activate,I need to know more about its ingredients,more information about ingredients,2,3,4,4,4,3,1,2,1,1,3,4,6,6,7,5380843,10-08-2020,09:39,10-08-2020,09:42,18.91666667,desktop,Twice a week,45 - 54 years,One,UK,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It’s natural / contains natural ingredients
889,1,4,2,4,,,,,,,,,,,,,,,,,,,7617973,10-08-2020,09:39,,,,mobile,Twice a week,25 - 34 years,I don’t have children under the age of 18,Australia,Roll-on,Yes,I use it multiple times a day,Female,Anxious sweater,It prevents / controls against odour
890,1,,,,,,,,,,,,,,,,,,,,,,5437194,10-08-2020,09:39,,,,mobile,Less often,25 - 34 years,I don’t have any children,US,Roll-on,Yes,I use it at least once a day,Female,Light sweater,It prevents / controls against odour
891,1,3,3,1,"I personally don’t commute or sweat that much, but may benefit others",Not relevant to me,Na,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5340350,10-08-2020,09:40,10-08-2020,09:43,18.63636364,mobile,3+ times a week,45 - 54 years,I don’t have any children,UK,Aerosol Spray,Yes,"I use it most days, but not every day",Female,Normal sweater,It prevents / controls against odour
892,1,5,4,4,it will keep me feeling fresh and worry free from excessive sweating,would want to know what are the cooling ingredients used,none at all,3,5,4,5,4,3,1,2,1,1,4,7,6,7,6,7676146,10-08-2020,09:40,10-08-2020,09:48,43.33333333,desktop,3+ times a week,25 - 34 years,One,UK,Stick,Yes,I use it multiple times a day,Female,Normal sweater,It prevents / controls against odour
893,1,5,5,5,To be sweat-free and to smell nice all day long.,n/a,n/a,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,5346763,10-08-2020,09:40,10-08-2020,09:46,33.63636364,desktop,Never,55 - 64 years,I don’t have children under the age of 18,South Africa,Aerosol Spray,Yes,I use it at least once a day,Male,Light sweater,It cares for my skin
894,1,5,4,5,That it cools you when you spray the product its a great idea. ,Nothing I love it. ,Nothing it's a great product ,5,4,5,5,5,1,1,1,1,1,7,7,7,7,7,5334702,10-08-2020,09:40,10-08-2020,09:45,21,mobile,3+ times a week,35 - 44 years,Two,UK,Aerosol Spray,Yes,I use it multiple times a day,Male,Normal sweater,Has a fragrance I like
895,1,5,5,5,"Cooling sensation, easy to use, innovative product ",N/a,N/a,4,4,4,5,5,,,,,,,,,,,5369179,10-08-2020,09:41,,,,mobile,Twice a week,45 - 54 years,I don’t have any children,UK,Aerosol Spray,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
896,1,3,4,1,that it offers protection against sweat and cool and fresh at the same time,n/a,n/a,2,3,4,5,5,1,3,3,1,5,4,4,5,6,7,5435197,10-08-2020,09:41,10-08-2020,09:48,34.66666667,desktop,Less often,55 - 64 years,I don’t have children under the age of 18,Australia,Aerosol Spray,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
897,1,,,,,,,,,,,,,,,,,,,,,,5336093,10-08-2020,09:41,,,,desktop,Twice a week,65 years +,I don’t have children under the age of 18,Australia,Aerosol Spray,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against odour
898,1,5,3,5,cooling sensation,n/a,n/a,4,5,4,5,5,1,1,1,1,1,7,7,6,7,7,8606603,10-08-2020,09:41,10-08-2020,10:03,110.5,desktop,Once a week,35 - 44 years,One,Philippines,Roll-on,Yes,I use it at least once a day,Male,Heavy sweater,It prevents / controls against odour
899,1,4,5,4,suitable for humid weather and hot seasons as it cools our body effectively,n/a,n/a,5,5,4,5,4,1,1,1,1,1,7,6,5,6,7,8604828,10-08-2020,09:41,10-08-2020,09:46,22.83333333,desktop,3+ times a week,25 - 34 years,One,India,Aerosol Spray,Yes,I use it multiple times a day,Male,Heavy sweater,It prevents / controls against odour
900,1,5,4,5,The ability to unable us to sweat and makes us feel cool even in hot or humid environment... ,N/a,Maybe you can add how it is made up of like if it is made from natural ingredients to much inform the user beside the advantages of using it still it is harmful or no bad side effects. ,4,4,4,5,4,2,1,1,1,1,5,6,6,7,7,8664609,10-08-2020,09:42,10-08-2020,09:54,60,mobile,3+ times a week,35 - 44 years,Two,Philippines,Roll-on,Yes,I use it at least once a day,Male,Heavy sweater,Has a fragrance I like
901,1,4,4,4,"I like the idea it works in any situation, any climate",n/a,n/a,3,4,4,5,5,2,1,1,1,1,4,7,7,7,7,7617978,10-08-2020,09:42,10-08-2020,09:51,51.90909091,desktop,3+ times a week,65 years +,I don’t have children under the age of 18,Australia,Roll-on,Yes,"I use it most days, but not every day",Male,Normal sweater,It prevents / controls against odour
902,1,5,4,4,Anything that keeps me from getting hot and sticky is a good thing,Just wondering whether it actually works ,No,3,4,4,5,4,2,1,2,1,1,4,6,6,5,5,6896278,10-08-2020,09:42,10-08-2020,09:46,21.25,mobile,3+ times a week,45 - 54 years,I don’t have children under the age of 18,UK,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It’s natural / contains natural ingredients
903,1,5,4,5,Keeping me fresh no matter what the weather is.,none,n/a,1,4,4,4,4,4,1,1,1,1,3,5,6,7,5,8597105,10-08-2020,09:42,10-08-2020,09:51,46.75,desktop,3+ times a week,45 - 54 years,Two,Philippines,I don't use any,No,I rarely / never use deodorant,Female,Normal sweater,I don't use any
904,,,,,,,,,,,,,,,,,,,,,,,8636570,10-08-2020,09:42,,,,desktop,3+ times a week,35 - 44 years,One,Philippines,Roll-on,Yes,I use it multiple times a day,Male,Excessive sweater,It prevents / controls against odour
905,,,,,,,,,,,,,,,,,,,,,,,6901464,10-08-2020,09:42,,,,desktop,Twice a week,35 - 44 years,One,UK,Aerosol Spray,Yes,I use it at least once a day,Male,Light sweater,It prevents / controls against odour
906,1,5,5,5,The fact that they've came out with a deodorant that works with the temperature of your Body to keep it cool all day,Nothing it sounds great,N/A,4,4,4,4,4,1,1,1,1,1,7,7,7,7,7,6969560,10-08-2020,09:42,10-08-2020,09:51,44,desktop,3+ times a week,55 - 64 years,One,US,Soft solid (clinical),Yes,I use it at least once a day,Male,Heavy sweater,It doesn’t use a lot of packaging / packaging is recyclable
907,,,,,,,,,,,,,,,,,,,,,,,8641457,10-08-2020,09:42,,,,mobile,Twice a week,35 - 44 years,One,Philippines,Roll-on,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
908,1,5,4,4,that it only activates when it is needed,n/a,n/a,3,4,5,5,5,1,1,1,1,1,4,6,6,7,7,5334825,10-08-2020,09:43,10-08-2020,09:46,16.72727273,desktop,Less often,55 - 64 years,I don’t have children under the age of 18,UK,Aerosol Spray,Yes,I use it multiple times a day,Male,Normal sweater,It prevents / controls against wetness
909,1,5,4,5,The on demand cooling,N/a,N/a,5,5,5,4,4,2,1,1,1,1,6,7,7,7,7,5335717,10-08-2020,09:43,10-08-2020,09:47,21.72727273,mobile,Once a week,55 - 64 years,I don’t have children under the age of 18,UK,Roll-on,Yes,I use it at least once a day,Female,Heavy sweater,It’s natural / contains natural ingredients
910,1,3,3,2,"not too sure, personaly i wouldnt use it.","cant say i like it ,full stop. ",N\A,3,2,4,3,3,3,3,3,3,3,4,5,5,5,5,5501898,10-08-2020,09:43,10-08-2020,09:52,43.25,desktop,Less often,65 years +,I don’t have children under the age of 18,Australia,Roll-on,Yes,I use it at least once a day,Female,Light sweater,It prevents / controls against odour
911,1,5,3,5,ver promising. being in a humid country this will be great for us.,need to try the product to answer this question,need to try this product to have an answer,2,4,2,5,5,2,2,2,1,1,4,6,5,7,7,8660938,10-08-2020,09:43,10-08-2020,09:51,44.36363636,mobile,3+ times a week,35 - 44 years,Two,Philippines,Lotion,Yes,I use it multiple times a day,Female,Normal sweater,It prevents / controls against odour
912,1,4,2,2,not sure,nothing if it would work,nothing,3,3,4,5,5,4,2,2,1,1,1,1,4,7,7,6960614,10-08-2020,09:43,10-08-2020,09:47,18.75,desktop,Never,65 years +,I don’t have children under the age of 18,US,Roll-on,Yes,"I use it most days, but not every day",Female,Light sweater,It prevents / controls against odour
913,1,5,5,5,"I liked the idea of on-demand coolong sensation, wherein this product releases cooling ingredients when activated by the body temperature.","To be honest, there is nothing that I disliked.","Not really, I would not change anything.",1,5,4,5,5,4,1,1,1,1,4,7,7,7,7,8607140,10-08-2020,09:43,10-08-2020,09:49,29.5,mobile,,,,,,,,,,
914,1,5,4,3,Long lasting cooling ,Nothing so far,No,5,5,4,4,5,1,1,1,1,1,7,7,7,6,6,7554130,10-08-2020,09:44,10-08-2020,09:48,19.75,desktop,Less often,18 - 24 years,I don’t have any children,India,Aerosol Spray,Yes,I use it at least once a day,Female,Anxious sweater,"It's free from (aluminium, chemical or fragrance)"
915,1,5,4,5,if it claims to do what it says then anything is more than welcome to keep me feeling cooling and fresher for longer,nothing so far as I`ve not tried it but often claims like this are too good to be true and i`m sure it would also depend on the indivual person as well,n/a,3,5,5,5,5,3,1,1,1,1,4,7,7,7,7,7676381,10-08-2020,09:44,10-08-2020,09:47,17.27272727,desktop,Twice a week,45 - 54 years,Two,UK,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against wetness
916,1,5,5,5,Keeps sweat under control and keeps me feeling cool and fresh,n/a,n/a,5,5,5,5,5,1,1,1,1,1,6,7,7,7,7,7554723,10-08-2020,09:44,10-08-2020,09:49,25.08333333,desktop,3+ times a week,35 - 44 years,One,India,Stick,Yes,I use it multiple times a day,Male,Light sweater,It prevents / controls against odour
917,1,4,4,4,It makes cooler,Nothing,Nothing,4,4,4,5,4,1,1,1,1,1,6,6,6,6,6,7619256,10-08-2020,09:44,10-08-2020,09:48,21.16666667,desktop,Twice a week,18 - 24 years,I don’t have any children,India,Aerosol Spray,Yes,I use it at least once a day,Female,Normal sweater,It cares for my skin
918,1,5,5,5,That it will make you feel kool no matter what you are doing. ,None,No,4,4,2,5,5,2,1,1,1,1,4,7,5,7,7,7618044,10-08-2020,09:44,10-08-2020,09:50,29.83333333,mobile,Less often,55 - 64 years,I don’t have children under the age of 18,Australia,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
919,1,5,4,5,Most deodorants work for sweating but none have cooling ingredients ,Nothing ,N/a,4,4,4,4,4,2,1,1,1,1,5,2,2,1,1,6901016,10-08-2020,09:44,10-08-2020,09:48,19.91666667,mobile,Less often,55 - 64 years,I don’t have children under the age of 18,UK,Roll-on,Yes,I use it at least once a day,Female,Light sweater,It prevents / controls against wetness
920,1,5,3,4,It help to reduce sweat ,It's hard to found ,No,,,,,,,,,,,,,,,,7619203,10-08-2020,09:44,,,,mobile,3+ times a week,25 - 34 years,One,South Africa,Aerosol Spray,No,I use it multiple times a day,Female,Light sweater,It prevents / controls against odour
921,1,4,4,4,The on-demand cooling sensation.,Nothing to dislike.,n/a,1,4,5,5,5,4,1,1,1,1,2,6,7,7,7,6908005,10-08-2020,09:44,10-08-2020,09:51,30.83333333,mobile,3+ times a week,35 - 44 years,I don’t have children under the age of 18,US,Gel,Yes,I use it at least once a day,Male,Heavy sweater,It prevents / controls against odour
922,1,5,4,5,That it would keep me cool;,Nothing,n/a,1,5,5,4,5,3,1,1,1,1,3,7,6,6,6,7676417,10-08-2020,09:45,10-08-2020,09:48,15.66666667,desktop,3+ times a week,65 years +,I don’t have children under the age of 18,UK,Roll-on,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
923,,,,,,,,,,,,,,,,,,,,,,,5388342,10-08-2020,09:45,,,,desktop,Twice a week,65 years +,I don’t have children under the age of 18,Australia,Roll-on,Yes,"I use it most days, but not every day",Female,Non-sweater,It cares for my skin
924,1,4,4,4,It will benefit in summers.,Nothing,Nothing,3,4,4,4,5,3,1,1,1,1,5,6,7,7,7,7561665,10-08-2020,09:45,10-08-2020,09:50,23.25,mobile,3+ times a week,25 - 34 years,I don’t have any children,India,Aerosol Spray,Yes,"I use it most days, but not every day",Male,Anxious sweater,It prevents / controls against odour
925,1,5,5,5,Day to day usage during todays temperatures can bring more confidence and less sweat stained clothes,N/a,n/a,4,5,5,5,4,2,1,1,1,1,6,6,6,7,7,6918369,10-08-2020,09:46,10-08-2020,09:53,37,mobile,3+ times a week,25 - 34 years,I don’t have any children,South Africa,Aerosol Spray,Yes,I use it at least once a day,Male,Normal sweater,Has a fragrance I like
926,1,5,5,5,As I love ice and how it cools me down so it's quite handy really,Nothing,No,5,5,4,5,5,5,5,5,5,5,6,6,7,6,6,5372354,10-08-2020,09:47,10-08-2020,09:51,24.81818182,mobile,3+ times a week,35 - 44 years,I don’t have any children,UK,Aerosol Spray,Yes,I use it multiple times a day,Male,Normal sweater,It does not cause white marks / stains on skin or clothes
927,,,,,,,,,,,,,,,,,,,,,,,6906251,10-08-2020,09:47,,,,mobile,Twice a week,25 - 34 years,Four or more,US,Stick,Yes,I use it multiple times a day,Female,Anxious sweater,It cares for my skin
928,1,4,3,3,That it adjusts to your body temperature and has the potential to act before you get hot and sweaty ,n/a,n/a,2,4,4,5,3,2,1,1,1,1,2,6,5,7,7,6898452,10-08-2020,09:48,10-08-2020,10:04,84.08333333,desktop,3+ times a week,25 - 34 years,One,UK,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
929,1,4,3,3,It would be helpful on hot days,Nothing,No,4,4,4,5,5,3,2,1,1,3,4,6,5,7,7,7671276,10-08-2020,09:48,10-08-2020,09:51,12.33333333,mobile,3+ times a week,55 - 64 years,I don’t have children under the age of 18,UK,Aerosol Spray,Yes,I use it multiple times a day,Male,Normal sweater,It cares for my skin
930,1,4,4,4,"Cooling ingredients, boost to deodorant ",Not sure what an 'Encap' is which affects the apoeal,N/A,4,5,4,4,5,2,1,1,1,1,4,5,5,6,6,6899641,10-08-2020,09:48,10-08-2020,09:52,20,mobile,Less often,35 - 44 years,Three,UK,Aerosol Spray,Yes,I use it multiple times a day,Male,Excessive sweater,It prevents / controls against odour
931,1,4,2,2,Refreshing feel in the heat,How much the product will live to it’s promises,N/a,5,4,4,4,5,1,1,1,1,1,7,6,5,6,7,5333090,10-08-2020,09:49,10-08-2020,09:57,39.75,mobile,Never,45 - 54 years,I don’t have children under the age of 18,UK,Aerosol Spray,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against odour
932,1,5,5,5,The concept is very unique.,n/a,n/a,4,4,4,4,4,2,1,1,1,1,7,7,7,7,7,7742135,10-08-2020,09:49,10-08-2020,09:54,26.75,mobile,3+ times a week,45 - 54 years,I don’t have any children,India,Pump spray,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
933,1,5,4,5,Cooling ingredients activated by body temperature,n/a,Provide some information about environmental impacts of the product,5,5,5,5,5,2,1,1,1,2,6,7,7,7,6,7553932,10-08-2020,09:49,10-08-2020,09:54,24,desktop,Never,35 - 44 years,Two,India,Aerosol Spray,Yes,"I use it most days, but not every day",Male,Light sweater,It’s natural / contains natural ingredients
934,1,4,2,4,It can keep me cool in the summer heat,No sure how this product will work and how natural it will be,n/a,5,4,4,5,5,1,1,1,1,1,6,6,5,6,5,7668579,10-08-2020,09:49,10-08-2020,09:59,49.16666667,desktop,Once a week,45 - 54 years,Two,South Africa,Aerosol Spray,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
935,1,1,1,1,"Nothing to like, or believe, about this.","It is silly.  It reminds me of the trouble Nurofen got into by claiming their headaches targeted certain areas of pain!  Expecting something to have a ""brain"" to decide where and when it attacks/activates is ridiculous!",I would scrap the idea completely!,1,1,1,1,3,5,5,5,5,3,4,4,4,5,5,5432737,10-08-2020,09:49,10-08-2020,09:55,31.09090909,desktop,Few times a month,55 - 64 years,I don’t have children under the age of 18,Australia,Aerosol Spray,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against wetness
936,1,4,4,4,"I like the idea of the cooling  sensation which is much needed on a hot humid day, I like the feeling of freshness after ","Without seeing the product I think the cooking sensation may feel strange , will the product look like a cube block to move about may be hard to hold ",Add a picture of what the product would look like so I have a better idea  Also add what scent it will be as I’m guessing a minty menthol type scent which if it is a fresh uplifting scent would be nice ,3,4,3,5,5,3,2,3,1,1,3,4,4,7,7,6898868,10-08-2020,09:49,10-08-2020,10:07,87.75,mobile,Twice a week,35 - 44 years,One,UK,Roll-on,Yes,I use it multiple times a day,Female,Light sweater,It prevents / controls against odour
937,1,5,2,4,The fact that it’s meant to cool you down when your body temp goes up. ,Just sounds so unbelievable. I would want more information of how it works and some research of it actually being tested on people and their feedback. Honest feedback. ,N/a,4,4,5,5,5,2,1,1,1,1,4,6,6,7,7,6891700,10-08-2020,09:49,10-08-2020,09:53,21.72727273,mobile,3+ times a week,35 - 44 years,One,UK,Stick,Yes,I use it at least once a day,Female,Heavy sweater,It prevents / controls against odour
938,1,4,4,5,that it adjusts to the conditions to release more deoderant,n/a,n/a,3,4,4,5,5,2,1,2,1,1,3,5,5,7,7,5374224,10-08-2020,09:50,10-08-2020,09:53,17.33333333,desktop,Less often,45 - 54 years,One,UK,Aerosol Spray,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
939,1,2,2,1,Nothing,"Sounds like a gimmick, I'd have no use for it",N/a,3,4,4,5,5,3,2,3,1,1,4,5,3,6,6,6898620,10-08-2020,09:50,10-08-2020,09:53,17.91666667,mobile,Never,45 - 54 years,I don’t have any children,UK,Aerosol Spray,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
940,1,3,3,3,Nothing ,Nothing ,N/a,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4,5415760,10-08-2020,09:50,10-08-2020,09:53,14.75,mobile,Once a week,35 - 44 years,Three,US,Soft solid (clinical),Yes,I use it multiple times a day,Female,Heavy sweater,It prevents / controls against odour
941,1,3,3,2,Innovative Idea,n/a,n/a,4,4,4,4,4,1,1,1,1,1,6,5,6,6,6,6915167,10-08-2020,09:50,10-08-2020,10:01,56.83333333,desktop,3+ times a week,65 years +,I don’t have children under the age of 18,South Africa,Aerosol Spray,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
942,1,5,5,5,I like the on-demand cooling sensation ingredient of the product which is activated by the body temperature to keep it cool no matter the climate is while traveling.,n/a,n/a,4,5,5,5,5,2,1,1,1,1,5,7,7,7,7,8617329,10-08-2020,09:50,10-08-2020,10:00,52.63636364,desktop,Few times a month,45 - 54 years,One,Philippines,Roll-on,Yes,"I use it most days, but not every day",Female,Normal sweater,It’s natural / contains natural ingredients
943,1,4,4,3,I don't have this problem but have friends who would find it a great product.,Nothin,If its as good as it reads would be a best seller,3,4,4,4,3,4,1,1,1,1,3,7,7,7,6,6949809,10-08-2020,09:50,10-08-2020,09:55,23.91666667,desktop,Twice a week,65 years +,I don’t have children under the age of 18,Australia,Roll-on,Yes,I use it at least once a day,Female,Light sweater,"It's free from (aluminium, chemical or fragrance)"
944,1,5,5,4,There was a problem and a solution has been generated that is self controlled by body temperature so there is no need to activate by any other means it becomes automatic and provides the outcome to the provide the feeling of staying cool and fresh whilst going from A to B,n/a,n/a,4,5,5,5,5,1,1,1,1,1,7,7,7,7,7,6910303,10-08-2020,09:51,10-08-2020,10:30,196.9166667,desktop,3+ times a week,65 years +,I don’t have children under the age of 18,Australia,I don't use any,No,I rarely / never use deodorant,Male,Light sweater,I don't use any
945,1,3,3,3,New idea,Nothing ,n/a,3,3,3,4,4,3,2,3,2,2,3,4,4,5,5,7670877,10-08-2020,09:51,10-08-2020,09:54,15.83333333,desktop,Twice a week,35 - 44 years,Two,Australia,Roll-on,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
946,1,4,3,3,"I sweat easily, just doing everyday activities",Doubts about its effectiveness,n/a,4,4,5,5,5,2,3,1,1,1,5,6,6,6,6,6946136,10-08-2020,09:51,10-08-2020,11:32,502.0833333,desktop,Less often,35 - 44 years,Two,US,Stick,Yes,I use it multiple times a day,Female,Normal sweater,It prevents / controls against odour
947,1,5,5,5,very exciting,none,none,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5367002,10-08-2020,09:52,10-08-2020,09:54,10.66666667,desktop,3+ times a week,55 - 64 years,I don’t have children under the age of 18,UK,Aerosol Spray,Yes,I use it at least once a day,Male,Light sweater,It prevents / controls against wetness
948,1,4,4,4,its quite good products is okay,nothing i dislike,n/a,4,4,4,4,4,4,5,2,1,1,5,6,5,6,7,8595795,10-08-2020,09:52,10-08-2020,09:57,24.5,mobile,3+ times a week,45 - 54 years,Two,Philippines,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It’s natural / contains natural ingredients
949,1,4,4,3,Provides enhanced freshness protection at a time when it is most likely to be required.,n/a,n/a,4,3,4,5,5,2,2,2,1,1,4,5,6,6,7,5367896,10-08-2020,09:52,10-08-2020,10:00,41.41666667,desktop,3+ times a week,55 - 64 years,I don’t have any children,UK,Aerosol Spray,Yes,I use it at least once a day,Male,Heavy sweater,It prevents / controls against wetness
950,1,4,4,3,All of it,Nothing,N/A,3,4,4,4,4,2,1,1,1,1,4,6,6,6,6,5337192,10-08-2020,09:52,10-08-2020,09:56,18.33333333,desktop,Once a week,65 years +,I don’t have children under the age of 18,Australia,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,"It's free from (aluminium, chemical or fragrance)"
951,1,5,3,5,That it can help with sweating ,N/a,N/a,4,4,4,4,4,1,1,1,1,1,5,6,7,6,7,6899282,10-08-2020,09:52,10-08-2020,10:02,46.33333333,mobile,Less often,45 - 54 years,I don’t have children under the age of 18,UK,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against wetness
952,1,3,3,3,nothing,seems strange,n/a,3,2,3,4,4,3,4,3,1,1,4,1,4,6,6,6893245,10-08-2020,09:52,10-08-2020,15:53,1801.5,desktop,3+ times a week,45 - 54 years,I don’t have children under the age of 18,UK,Aerosol Spray,Yes,I use it at least once a day,Male,Heavy sweater,It prevents / controls against wetness
953,1,5,4,5,"I like the idea of the on demand cooling sensation, it’ll make me feel fresher for longer ",N/A,N/A,3,4,4,4,5,3,1,1,1,1,4,6,6,6,6,6898743,10-08-2020,09:53,10-08-2020,10:02,49.27272727,mobile,Few times a month,25 - 34 years,One,UK,Roll-on,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against odour
954,1,2,2,2,it keeps you fresh,seems weird to me,not sure,4,4,4,4,5,2,1,1,1,2,6,7,6,6,7,5349924,10-08-2020,09:53,10-08-2020,09:56,16.83333333,desktop,3+ times a week,65 years +,I don’t have children under the age of 18,South Africa,Roll-on,Yes,I use it multiple times a day,Male,Normal sweater,It prevents / controls against odour
955,1,4,3,3,Sounds like something that would come in handy when the weather is extremely hot and I need to cool down,Not sure if the product will be suitable for my skin it may cause burns or irritations or have a smell or leave a residue,Can't say as I've never seen or used this,4,4,5,4,5,2,1,1,1,1,4,7,7,6,6,6923533,10-08-2020,09:53,10-08-2020,09:57,22.18181818,mobile,3+ times a week,35 - 44 years,Three,South Africa,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
956,1,5,4,5,It is automatically activated by our body temperature and it will help us remain cool and relaxed. I stay in hot and humid climate zone so it will be useful for me. ,Nothing so far.,Not now .may be after I start using it.,5,5,4,5,5,2,1,1,1,1,5,7,7,7,7,7681922,10-08-2020,09:53,10-08-2020,10:03,48,mobile,Twice a week,25 - 34 years,One,India,Pump spray,Yes,I use it at least once a day,Female,Normal sweater,It’s natural / contains natural ingredients
957,1,3,4,3,It's uniqueness ,Nothing ,N/A,2,3,4,3,4,3,3,2,1,1,5,5,5,6,6,7975717,10-08-2020,09:53,10-08-2020,10:03,48.16666667,mobile,Less often,65 years +,I don’t have children under the age of 18,Australia,I don't use any,No,I rarely / never use deodorant,Male,Normal sweater,I don't use any
958,1,5,4,5,It seems unique and new idea ,worried abot the chemicals that is used to create cooling sensation. If it is 100% natural then no worries,N/A,2,4,2,5,5,2,1,2,1,1,3,5,4,7,7,7764091,10-08-2020,09:53,10-08-2020,10:03,45.66666667,mobile,3+ times a week,35 - 44 years,One,India,Aerosol Spray,Yes,"I use it most days, but not every day",Female,Normal sweater,It prevents / controls against odour
959,1,4,5,3,Its natural and the way it releases cooling ingredients to keep one fresh.,na,na,4,5,5,4,5,3,1,1,2,2,4,7,5,6,6,6885460,10-08-2020,09:54,10-08-2020,10:04,58.54545455,desktop,Less often,45 - 54 years,I don’t have children under the age of 18,UK,I don't use any,No,I rarely / never use deodorant,Female,Anxious sweater,
960,1,4,3,2,Responsive when environment is hotter,The approach is a bit naff. I'd rather it saying it has the ability to work even under the most challenging conditions,See prior answer. The whole approach to the advert,4,4,3,4,5,4,3,4,5,5,6,5,4,7,7,7317519,10-08-2020,09:54,10-08-2020,09:59,26.08333333,mobile,Twice a week,45 - 54 years,I don’t have children under the age of 18,UK,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
961,1,5,3,4,It has an appealing benefit if it works effectively,nothing,not that I can think of,4,5,4,5,5,4,1,1,1,1,5,6,6,6,6,5341290,10-08-2020,09:55,10-08-2020,09:58,15.63636364,desktop,3+ times a week,35 - 44 years,I don’t have children under the age of 18,UK,Aerosol Spray,Yes,I use it multiple times a day,Male,Heavy sweater,It prevents / controls against odour
962,1,5,2,3,Keeps your sweat under control and cools you at the same time is a win-win.,Not enough info on how the product works or what it looks like,N/a - not enough info,4,4,4,5,5,2,1,1,1,1,5,6,5,7,7,6898840,10-08-2020,09:55,10-08-2020,10:08,62.33333333,mobile,Twice a week,55 - 64 years,I don’t have children under the age of 18,UK,Aerosol Spray,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
